timestamp,average_skill,skill_tier,count
"2018-05-01 00:00:00",1221.5638902564561608,T3,44686
"2018-05-01 00:00:00",3398.2958564264977567,T6,3789
"2018-05-01 00:00:00",171.2868049270001181,T1,101644
"2018-05-01 00:00:00",825.6633663366336634,T2,79083
"2018-06-01 00:00:00",4395.3934040047114252,T7,849
"2018-06-01 00:00:00",2543.3963374028856826,T5,9010
"2018-06-01 00:00:00",1861.5598162572398642,T4,15021
"2018-06-01 00:00:00",1223.2129709643968199,T3,46288
"2018-06-01 00:00:00",3399.8538328814394873,T6,4057
"2018-06-01 00:00:00",173.0953025806513576,T1,104121
"2018-06-01 00:00:00",824.4659453443798689,T2,80870
"2018-07-01 00:00:00",4395.2252448313384113,T7,919
"2018-07-01 00:00:00",2544.0884474647151072,T5,9565
