account_id,skill_tier
319206513,T0
14081567,T0
25368618,T0
108809950,T0
164844644,T0
150871,T0
919406554,T0
172946297,T0
128437979,T0
302508021,T0
43333738,T0
474963542,T1
866293676,T0
86579745,T0
137729429,T0
48929773,T0
919160881,T0
3830364,T0
42333188,T0
926243082,T0
32678952,T0
348116016,T0
35132227,T0
78253794,T0
330590580,T0
45887343,T0
91874528,T0
120088213,T0
841164739,T0
380165861,T0
227609861,T0
90309968,T1
65038095,T0
333629938,T0
37277112,T0
179248496,T0
426702950,T0
87166490,T0
147068473,T0
30005284,T0
171276000,T0
338093682,T0
928333673,T0
450265579,T0
43756288,T0
47541414,T0
84805248,T0
181713312,T0
341482776,T0
82869583,T0
80699429,T0
85681415,T0
91694049,T0
62441201,T0
137833689,T0
2604838,T1
443792279,T0
484229221,T0
414363088,T0
191128449,T0
49005054,T0
475445959,T0
325180529,T0
151329095,T0
35989407,T2
389360394,T0
107918597,T0
98180305,T0
375045787,T0
28788452,T0
128291,T0
28254103,T0
172776089,T0
393264306,T0
20837277,T0
162594570,T0
770920084,T0
314855646,T0
229655261,T0
183389308,T0
134350901,T0
93255012,T0
195307,T0
317810696,T0
317426649,T0
245889983,T0
99453790,T0
49625723,T0
112527656,T0
172517647,T0
249700136,T0
96928764,T0
10849933,T0
100436935,T0
371025194,T0
137024178,T2
8615970,T0
4047496,T1
293821466,T0
15276094,T0
55275229,T0
12152298,T3
147518770,T0
199392284,T0
173750346,T0
179246186,T0
399204070,T0
67437766,T2
903159496,T0
19888627,T0
71310311,T0
142716909,T5
122800265,T0
668448,T0
67881168,T1
254129081,T0
251546989,T0
897920100,T0
92658942,T0
161959524,T0
122419484,T0
24360438,T0
64275968,T0
100838739,T0
362931533,T0
30933155,T0
393094819,T3
321150559,T0
61376003,T0
279587,T0
35478638,T0
196305355,T0
105950208,T3
109291020,T0
113402817,T0
166193522,T0
50066436,T1
115636304,T0
15649412,T1
906089661,T0
104878092,T0
2230609,T2
58739179,T3
80034576,T1
60625823,T0
141861624,T2
104247536,T1
83963201,T3
343517623,T6
27568416,T0
141095067,T0
165647886,T1
11814984,T2
116306195,T2
79968881,T3
246670229,T2
83741630,T0
118193586,T0
42135872,T4
60892340,T3
36320981,T3
76843614,T3
55118191,T0
415913507,T1
45177816,T0
88415880,T0
87429765,T5
326779732,T0
181942172,T0
72927087,T1
10452179,T0
187602080,T2
209861767,T2
11923222,T2
36091723,T4
3873306,T1
237469217,T2
164068121,T0
415682635,T7
41247106,T3
57959786,T0
101284687,T2
159087568,T3
137264390,T3
493132368,T1
106074108,T3
6693327,T5
86946089,T2
34954043,T4
74715993,T0
80528403,T1
57185072,T0
42812751,T6
470234579,T0
116860276,T4
133703207,T0
951514,T1
146637909,T1
41709325,T2
39773462,T0
311568565,T1
371849732,T0
114819482,T1
21708807,T3
43030643,T4
14591847,T5
3825620,T3
31156253,T2
40359996,T0
66127054,T0
4184209,T2
102279939,T2
281102192,T1
24468119,T2
18454178,T0
409291690,T0
319141538,T0
23287291,T0
9986638,T4
96383024,T3
28788736,T0
9685704,T0
60706808,T0
12130891,T0
95179895,T0
9697215,T5
121221595,T3
41751698,T2
7151726,T3
82082908,T0
94760208,T4
66885890,T2
34114950,T3
108855100,T0
52950143,T1
68346091,T0
61576643,T2
192295,T0
20057325,T2
365834058,T2
62543282,T1
139217532,T2
198803761,T2
220369007,T0
326473166,T0
2219,T4
217328389,T3
907969,T1
18048969,T2
2754007,T0
47400951,T1
190006624,T0
53590205,T1
96889296,T4
81046560,T1
2777083,T2
47845140,T2
343746665,T0
320336930,T1
72691447,T2
325563194,T0
65918372,T1
68581,T1
111853068,T1
67591819,T0
12059017,T0
88826553,T0
177702,T4
50159481,T3
37194885,T1
130791499,T0
918495248,T6
6767812,T0
375830811,T0
73407070,T7
30092923,T0
66508119,T1
258302551,T1
205930959,T0
152843623,T1
10639677,T4
247768251,T0
55162858,T2
215872091,T1
1852212,T4
79349308,T4
40207504,T0
33995725,T2
54723464,T3
128208648,T2
8624756,T2
160781349,T1
55041602,T0
471832667,T2
297656114,T2
52484968,T0
91938800,T0
167173537,T0
23649227,T0
102448034,T0
8500279,T3
7814046,T1
117946136,T3
95228956,T3
159997048,T1
53196450,T0
310643442,T0
144811647,T1
53663691,T4
42482348,T2
312635862,T0
908352043,T0
111743262,T4
16325783,T4
8826218,T1
239253711,T2
139263878,T1
32212732,T2
46583347,T6
857095338,T0
158901405,T2
13245142,T4
42994054,T0
421950407,T1
145554568,T2
22682475,T1
107683763,T2
18581844,T4
917038587,T0
297824964,T0
113275559,T2
322096,T2
6679643,T6
6872975,T3
7431143,T1
3008877,T4
116861029,T0
94520368,T5
197868729,T0
194849781,T3
45571250,T1
86312,T3
675841,T0
98401102,T2
158342672,T1
104773112,T4
28648159,T0
127583688,T2
466761169,T0
80114009,T1
957598,T3
83959599,T1
142147220,T2
93119967,T3
81125498,T5
1291400,T3
63311586,T0
97626846,T0
7573576,T0
388320077,T0
4819219,T0
3169375,T1
47155288,T4
75325482,T0
711416,T0
50256557,T3
107602815,T1
32652448,T0
87228810,T0
3831459,T0
104879344,T1
188210918,T0
21522924,T5
243970752,T0
323734609,T0
226051021,T1
366571424,T1
360729581,T0
192383945,T1
297629993,T0
57135229,T0
92189171,T4
103623041,T0
50656213,T3
839099266,T1
64396955,T2
880732848,T1
46704468,T3
29964782,T6
876230196,T0
30630552,T1
1783694,T1
102403465,T1
313050594,T1
68031658,T0
26783092,T0
953700486,T0
92118289,T1
28224332,T4
6460885,T1
147754,T5
593266,T0
44849114,T1
91692117,T3
335966958,T1
189827210,T1
128661468,T3
103561560,T2
86749430,T0
115096141,T4
10269630,T4
749146,T3
47415062,T1
44469976,T2
2824373,T0
345502287,T3
145427105,T2
393943123,T0
112540615,T2
112769473,T3
103588243,T1
72836726,T3
126337403,T0
34968998,T2
12470919,T3
118463657,T2
54654840,T0
312825776,T0
166632389,T0
95123631,T0
119269007,T3
237941474,T6
236236422,T0
159920946,T0
49309861,T2
38113618,T1
14488006,T2
676169,T2
24133423,T0
3783915,T0
139132117,T1
32729054,T3
62104447,T5
3214477,T1
7667349,T1
868339094,T0
11638275,T1
10997302,T0
71008516,T0
391513225,T2
16488807,T4
146661268,T3
82353501,T0
71017509,T1
104242476,T1
77267531,T0
187985037,T0
9373390,T0
181289841,T0
92076868,T3
321529699,T0
371237873,T2
177128223,T0
25168579,T0
145499395,T4
31696069,T5
43438413,T4
310851817,T1
123888865,T0
49228066,T0
132551161,T3
160501945,T0
111733080,T1
62968013,T3
98023,T1
194317885,T1
121445540,T6
114035598,T1
26746781,T3
29402052,T2
66911888,T2
1329412,T2
57110304,T0
242607090,T2
167214714,T1
53427973,T0
2476730,T6
38746265,T0
5186813,T4
97113608,T1
98474469,T1
428493883,T0
11517852,T3
87169863,T0
220837301,T1
109991692,T0
57270534,T0
12504291,T1
7416983,T0
145799628,T3
4669983,T1
4403462,T1
114714087,T1
124026916,T3
72571828,T5
78907078,T0
107002564,T0
345219104,T1
47683517,T0
228064651,T0
116154714,T0
83596826,T3
123548437,T0
27514092,T5
109676457,T1
110267787,T0
400210849,T0
376056911,T0
4019490,T3
40206123,T0
27213481,T0
67918742,T0
119687127,T3
200764292,T0
6488461,T0
116575755,T0
67276844,T3
209176720,T0
22014679,T2
123847908,T0
239618778,T0
49525128,T3
56620834,T0
36433562,T3
56539324,T0
150192309,T1
117969203,T3
123312960,T1
137958172,T2
1763597,T2
5101966,T1
104959657,T0
7226066,T3
63737918,T0
107204560,T0
103663978,T1
26394168,T0
122569795,T0
120538819,T0
79091119,T0
46754273,T0
51872442,T0
187746947,T0
49412825,T3
324576256,T4
38773387,T4
238716333,T1
15176979,T1
114924663,T1
54716647,T1
7448043,T2
118867316,T0
868144192,T1
128168652,T1
171758356,T0
29225553,T0
221713163,T0
15350471,T0
133216384,T4
31860174,T2
48436695,T0
109323137,T3
88763193,T0
113910330,T0
6347977,T3
419265290,T0
107522981,T2
148796807,T0
54619652,T0
79551976,T0
111576075,T3
62422223,T4
66400861,T0
192003859,T0
354091515,T1
95529071,T0
104755207,T1
209042404,T0
144681536,T5
138979872,T1
40809459,T1
34413361,T2
145889937,T0
242262926,T0
3167166,T0
72259023,T0
58909691,T0
101969230,T0
625011,T0
97226104,T0
145550125,T0
97118937,T1
1068548,T3
54875390,T2
88530843,T0
14105535,T0
85826117,T0
3799346,T1
146176038,T3
108437721,T3
4533959,T1
408353135,T2
