coordinates,map,team
"99.21 28.64 38.83",ns2_unearthed,aliens
"168.95 30.33 163.85",ns2_unearthed,aliens
"166.05 30.33 161.05",ns2_unearthed,aliens
"159.20 30.35 155.53",ns2_unearthed,aliens
"165.71 31.26 156.05",ns2_unearthed,aliens
"130.66 29.15 46.07",ns2_unearthed,marines
"94.75 30.49 75.80",ns2_unearthed,aliens
"179.04 29.78 152.67",ns2_unearthed,marines
"179.58 31.32 155.42",ns2_unearthed,aliens
"178.16 30.50 150.21",ns2_unearthed,aliens
"128.06 31.90 27.78",ns2_unearthed,marines
"120.77 30.49 27.91",ns2_unearthed,marines
"149.95 30.50 150.99",ns2_unearthed,aliens
"122.67 30.65 25.92",ns2_unearthed,aliens
"178.06 29.80 158.99",ns2_unearthed,marines
"164.53 31.67 164.68",ns2_unearthed,aliens
"142.01 29.09 33.92",ns2_unearthed,aliens
"176.65 30.35 162.82",ns2_unearthed,marines
"150.87 30.47 80.84",ns2_unearthed,marines
"177.82 29.84 159.19",ns2_unearthed,aliens
"177.81 30.75 163.73",ns2_unearthed,marines
"173.28 31.58 166.14",ns2_unearthed,marines
"162.59 30.35 158.13",ns2_unearthed,marines
"127.19 28.69 59.34",ns2_unearthed,marines
"129.19 27.75 58.59",ns2_unearthed,aliens
"161.96 30.35 153.04",ns2_unearthed,aliens
"124.53 30.66 49.33",ns2_unearthed,aliens
"174.19 30.37 165.08",ns2_unearthed,aliens
"175.83 30.31 164.54",ns2_unearthed,marines
"176.41 30.31 167.15",ns2_unearthed,marines
"85.59 29.01 68.95",ns2_unearthed,aliens
"85.77 29.77 51.81",ns2_unearthed,aliens
"164.17 31.69 158.56",ns2_unearthed,marines
"162.70 30.35 158.95",ns2_unearthed,aliens
"173.76 31.52 163.35",ns2_unearthed,aliens
"178.23 29.78 152.31",ns2_unearthed,marines
"177.92 30.95 156.41",ns2_unearthed,aliens
"177.09 30.35 160.61",ns2_unearthed,marines
"135.60 29.33 51.06",ns2_unearthed,aliens
"101.52 38.48 149.63",ns2_unearthed,aliens
"134.77 29.07 46.56",ns2_unearthed,marines
"166.46 31.02 155.16",ns2_unearthed,aliens
"136.10 31.02 42.91",ns2_unearthed,marines
"164.54 30.35 155.66",ns2_unearthed,marines
"175.77 30.28 161.05",ns2_unearthed,aliens
"142.81 30.51 27.00",ns2_unearthed,aliens
"142.04 30.15 33.11",ns2_unearthed,marines
"135.60 29.39 50.78",ns2_unearthed,aliens
"136.28 29.25 52.45",ns2_unearthed,aliens
"178.07 27.70 164.91",ns2_unearthed,marines
"177.25 30.51 157.08",ns2_unearthed,aliens
"178.34 30.57 166.71",ns2_unearthed,marines
"178.95 31.02 167.47",ns2_unearthed,aliens
"176.90 30.70 165.05",ns2_unearthed,aliens
"150.25 26.40 116.15",ns2_unearthed,aliens
"85.03 28.86 55.34",ns2_unearthed,aliens
"154.71 30.33 77.43",ns2_unearthed,marines
"178.64 30.88 156.73",ns2_unearthed,aliens
"182.54 31.04 153.53",ns2_unearthed,aliens
"110.52 31.86 97.79",ns2_unearthed,aliens
"106.62 32.90 95.33",ns2_unearthed,marines
"191.73 31.04 154.39",ns2_unearthed,aliens
"178.53 29.78 153.62",ns2_unearthed,marines
"93.87 35.81 128.92",ns2_unearthed,aliens
"207.39 28.15 143.38",ns2_unearthed,marines
"94.86 34.25 127.63",ns2_unearthed,aliens
"164.51 30.35 157.15",ns2_unearthed,aliens
"164.25 30.35 155.08",ns2_unearthed,marines
"164.96 31.60 149.03",ns2_unearthed,aliens
"155.08 30.45 158.08",ns2_unearthed,marines
"155.19 31.97 158.43",ns2_unearthed,aliens
"85.76 29.11 69.94",ns2_unearthed,aliens
"167.69 30.31 163.55",ns2_unearthed,aliens
"96.78 34.93 116.11",ns2_unearthed,aliens
"85.68 29.04 67.32",ns2_unearthed,aliens
"178.18 29.92 157.93",ns2_unearthed,marines
"178.03 31.15 156.66",ns2_unearthed,aliens
"177.92 31.20 156.80",ns2_unearthed,aliens
"97.44 35.23 118.86",ns2_unearthed,aliens
"178.86 32.23 156.55",ns2_unearthed,aliens
"173.35 31.16 165.22",ns2_unearthed,aliens
"165.28 30.35 159.35",ns2_unearthed,marines
"164.47 30.57 156.93",ns2_unearthed,aliens
"104.90 30.58 84.71",ns2_unearthed,aliens
"165.28 28.34 163.16",ns2_unearthed,aliens
"104.00 32.33 95.78",ns2_unearthed,aliens
"177.99 31.36 159.38",ns2_unearthed,aliens
"186.67 29.78 150.60",ns2_unearthed,aliens
"178.54 31.30 158.28",ns2_unearthed,aliens
"167.66 30.81 162.46",ns2_unearthed,aliens
"185.42 29.80 151.63",ns2_unearthed,aliens
"183.64 31.33 150.77",ns2_unearthed,marines
"179.96 29.78 151.95",ns2_unearthed,aliens
"178.43 37.62 156.34",ns2_unearthed,aliens
"182.71 29.78 154.10",ns2_unearthed,marines
"91.38 35.45 127.46",ns2_unearthed,aliens
"185.82 30.83 146.44",ns2_unearthed,aliens
"178.63 29.78 155.86",ns2_unearthed,marines
"89.46 35.84 130.44",ns2_unearthed,aliens
"178.91 29.78 154.70",ns2_unearthed,aliens
"201.11 29.50 151.72",ns2_unearthed,marines
"130.55 28.64 63.44",ns2_unearthed,aliens
"94.05 31.87 56.12",ns2_unearthed,marines
"191.84 28.20 145.43",ns2_unearthed,aliens
"93.73 29.63 47.07",ns2_unearthed,aliens
"190.89 28.93 154.94",ns2_unearthed,aliens
"92.04 31.54 58.22",ns2_unearthed,aliens
"199.61 31.45 66.51",ns2_unearthed,marines
"196.60 28.33 132.44",ns2_unearthed,marines
"181.94 31.17 151.42",ns2_unearthed,aliens
"96.97 30.17 46.71",ns2_unearthed,marines
"102.85 28.56 33.33",ns2_unearthed,marines
"94.67 28.58 30.08",ns2_unearthed,marines
"190.25 29.23 154.48",ns2_unearthed,aliens
"97.37 28.35 28.24",ns2_unearthed,marines
"97.73 29.82 15.87",ns2_unearthed,marines
"97.26 28.56 18.17",ns2_unearthed,marines
"99.57 29.74 11.56",ns2_unearthed,aliens
"167.88 30.37 163.43",ns2_unearthed,aliens
"101.02 37.60 143.52",ns2_unearthed,aliens
"169.52 30.35 165.29",ns2_unearthed,aliens
"168.37 31.72 162.34",ns2_unearthed,aliens
"161.42 30.35 153.25",ns2_unearthed,marines
"159.46 31.68 154.98",ns2_unearthed,aliens
"161.35 30.35 155.93",ns2_unearthed,aliens
"117.74 28.53 86.84",ns2_unearthed,aliens
"184.30 31.17 151.72",ns2_unearthed,aliens
"102.05 37.37 144.77",ns2_unearthed,aliens
"189.79 28.93 142.37",ns2_unearthed,aliens
"186.56 29.78 145.34",ns2_unearthed,marines
"186.17 29.77 147.33",ns2_unearthed,marines
"207.16 28.35 137.24",ns2_unearthed,marines
"179.97 31.27 161.87",ns2_unearthed,aliens
"97.56 33.93 96.30",ns2_unearthed,marines
"88.04 29.01 65.83",ns2_unearthed,aliens
"94.20 34.60 128.36",ns2_unearthed,aliens
"104.55 35.57 126.84",ns2_unearthed,aliens
"174.36 30.35 165.69",ns2_unearthed,marines
"99.34 28.58 18.96",ns2_unearthed,aliens
"181.57 29.80 152.68",ns2_unearthed,aliens
"183.23 29.80 150.75",ns2_unearthed,aliens
"181.24 30.90 136.95",ns2_unearthed,aliens
"102.51 36.78 119.74",ns2_unearthed,aliens
"176.43 30.31 162.05",ns2_unearthed,marines
"174.98 29.76 150.32",ns2_unearthed,aliens
"180.21 29.80 149.34",ns2_unearthed,aliens
"183.73 29.78 150.09",ns2_unearthed,marines
"141.40 31.28 146.41",ns2_unearthed,marines
"185.71 31.46 147.37",ns2_unearthed,marines
"98.98 37.37 146.27",ns2_unearthed,marines
"110.33 36.64 141.54",ns2_unearthed,aliens
"190.25 30.30 132.60",ns2_unearthed,aliens
"177.31 30.85 151.46",ns2_unearthed,marines
"173.63 31.56 162.40",ns2_unearthed,aliens
"178.05 30.31 166.60",ns2_unearthed,marines
"106.27 30.29 79.49",ns2_unearthed,marines
"102.14 31.07 76.08",ns2_unearthed,aliens
"165.14 30.30 161.85",ns2_unearthed,marines
"139.56 29.32 118.44",ns2_unearthed,marines
"120.98 34.77 107.30",ns2_unearthed,aliens
"121.02 33.78 105.74",ns2_unearthed,marines
"105.52 38.51 145.21",ns2_unearthed,aliens
"122.49 30.48 28.05",ns2_unearthed,marines
"172.79 38.19 139.69",ns2_unearthed,aliens
"138.22 30.63 49.97",ns2_unearthed,aliens
"177.48 30.31 166.27",ns2_unearthed,marines
"168.62 30.30 162.91",ns2_unearthed,marines
"117.37 30.60 102.10",ns2_unearthed,aliens
"167.05 30.35 156.15",ns2_unearthed,marines
"164.46 31.50 151.02",ns2_unearthed,marines
"162.81 30.88 165.24",ns2_unearthed,aliens
"164.65 32.44 153.93",ns2_unearthed,marines
"139.64 31.31 147.67",ns2_unearthed,aliens
"124.29 36.03 150.43",ns2_unearthed,aliens
"106.76 32.36 98.36",ns2_unearthed,aliens
"96.03 32.40 76.21",ns2_unearthed,marines
"141.94 31.28 146.40",ns2_unearthed,marines
"85.69 29.24 68.43",ns2_unearthed,aliens
"141.32 31.28 145.82",ns2_unearthed,marines
"149.85 30.40 150.63",ns2_unearthed,aliens
"148.84 30.34 143.83",ns2_unearthed,aliens
"138.09 32.61 146.57",ns2_unearthed,aliens
"162.94 29.63 27.04",ns2_unearthed,aliens
"172.32 30.49 34.76",ns2_unearthed,marines
"106.41 32.39 95.81",ns2_unearthed,aliens
"167.62 30.33 162.94",ns2_unearthed,aliens
"168.04 30.33 163.23",ns2_unearthed,aliens
"156.83 30.35 152.34",ns2_unearthed,aliens
"146.71 30.69 1.52",ns2_unearthed,marines
"142.43 30.56 14.32",ns2_unearthed,aliens
"215.12 32.44 64.91",ns2_unearthed,marines
"186.95 29.80 151.83",ns2_unearthed,aliens
"185.15 30.03 151.81",ns2_unearthed,aliens
"154.38 30.53 5.83",ns2_unearthed,aliens
"190.21 32.29 19.03",ns2_unearthed,aliens
"92.98 35.92 129.98",ns2_unearthed,aliens
"90.58 35.74 133.02",ns2_unearthed,marines
"180.06 29.65 166.03",ns2_unearthed,aliens
"102.22 37.37 143.70",ns2_unearthed,aliens
"185.97 29.78 149.63",ns2_unearthed,aliens
"132.30 29.87 35.52",ns2_unearthed,aliens
"182.84 31.48 142.31",ns2_unearthed,aliens
"144.53 30.58 14.97",ns2_unearthed,aliens
"193.73 28.75 142.00",ns2_unearthed,aliens
"145.40 33.20 15.26",ns2_unearthed,aliens
"131.26 27.95 51.67",ns2_unearthed,aliens
"101.20 37.37 144.35",ns2_unearthed,aliens
"97.87 38.28 127.80",ns2_unearthed,aliens
"195.55 29.14 152.54",ns2_unearthed,aliens
"193.11 28.76 146.56",ns2_unearthed,marines
"205.16 30.87 133.13",ns2_unearthed,aliens
"210.45 28.33 135.51",ns2_unearthed,aliens
"179.99 29.75 152.55",ns2_unearthed,aliens
"208.33 29.96 137.27",ns2_unearthed,aliens
"178.10 30.03 155.94",ns2_unearthed,aliens
"205.40 28.35 131.97",ns2_unearthed,marines
"173.54 30.31 164.93",ns2_unearthed,marines
"181.21 31.48 162.24",ns2_unearthed,marines
"173.67 30.31 165.75",ns2_unearthed,marines
"168.12 31.72 165.66",ns2_unearthed,aliens
"163.86 31.15 156.49",ns2_unearthed,aliens
"182.92 29.78 152.05",ns2_unearthed,marines
"158.82 30.58 153.57",ns2_unearthed,marines
"157.99 30.69 152.38",ns2_unearthed,aliens
"161.15 30.35 156.59",ns2_unearthed,marines
"157.12 30.35 153.11",ns2_unearthed,aliens
"158.60 37.77 158.48",ns2_unearthed,aliens
"151.81 30.31 148.67",ns2_unearthed,marines
"165.40 30.35 159.93",ns2_unearthed,marines
"152.62 30.40 142.27",ns2_unearthed,marines
"160.05 30.35 151.62",ns2_unearthed,aliens
"156.10 29.54 145.16",ns2_unearthed,marines
"159.57 31.90 155.10",ns2_unearthed,aliens
"160.14 30.35 157.09",ns2_unearthed,marines
"152.52 31.35 153.35",ns2_unearthed,aliens
"180.55 28.77 161.35",ns2_unearthed,aliens
"90.63 34.44 131.03",ns2_unearthed,aliens
"104.42 37.37 148.78",ns2_unearthed,aliens
"157.69 31.39 155.82",ns2_unearthed,aliens
"132.30 28.78 47.99",ns2_unearthed,aliens
"158.35 30.35 150.41",ns2_unearthed,marines
"157.46 30.86 143.01",ns2_unearthed,aliens
"175.02 28.04 163.04",ns2_unearthed,marines
"165.28 30.33 161.99",ns2_unearthed,aliens
"132.27 32.26 80.98",ns2_unearthed,marines
"164.26 30.42 155.65",ns2_unearthed,marines
"158.07 30.35 154.60",ns2_unearthed,aliens
"157.36 36.06 152.79",ns2_unearthed,aliens
"167.10 31.48 143.03",ns2_unearthed,aliens
"156.16 31.61 154.05",ns2_unearthed,aliens
"167.58 31.75 161.70",ns2_unearthed,aliens
"87.65 29.09 65.76",ns2_unearthed,aliens
"100.01 37.82 144.00",ns2_unearthed,aliens
"147.50 31.86 2.96",ns2_unearthed,aliens
"149.87 30.49 84.30",ns2_unearthed,marines
"149.58 30.58 79.99",ns2_unearthed,aliens
"172.01 38.53 139.04",ns2_unearthed,aliens
"146.03 30.46 82.82",ns2_unearthed,marines
"166.04 30.31 162.17",ns2_unearthed,marines
"129.37 32.04 147.52",ns2_unearthed,marines
"165.17 30.36 158.27",ns2_unearthed,marines
"160.20 30.35 155.43",ns2_unearthed,marines
"169.59 30.38 164.20",ns2_unearthed,aliens
"170.87 28.65 156.46",ns2_unearthed,aliens
"157.24 30.35 156.45",ns2_unearthed,marines
"158.96 30.35 155.94",ns2_unearthed,marines
"172.69 26.78 163.38",ns2_unearthed,marines
"169.14 26.77 161.31",ns2_unearthed,marines
"167.21 30.35 156.28",ns2_unearthed,marines
"138.04 34.46 145.00",ns2_unearthed,marines
"163.56 30.96 150.06",ns2_unearthed,marines
"173.59 31.19 33.24",ns2_unearthed,marines
"157.44 30.32 143.14",ns2_unearthed,marines
"150.29 30.35 148.92",ns2_unearthed,marines
"130.09 31.28 148.67",ns2_unearthed,marines
"109.81 34.32 131.86",ns2_unearthed,marines
"114.27 34.98 131.46",ns2_unearthed,aliens
"118.88 33.76 139.95",ns2_unearthed,marines
"115.27 35.28 133.54",ns2_unearthed,aliens
"126.55 29.53 57.64",ns2_unearthed,aliens
"108.42 38.31 142.01",ns2_unearthed,aliens
"121.98 33.75 109.11",ns2_unearthed,marines
"124.85 31.53 145.89",ns2_unearthed,marines
"134.53 31.70 143.97",ns2_unearthed,aliens
"117.87 34.39 136.90",ns2_unearthed,marines
"192.38 30.48 21.71",ns2_unearthed,aliens
"93.57 38.07 146.02",ns2_unearthed,aliens
"109.88 36.49 139.02",ns2_unearthed,aliens
"100.49 37.37 145.46",ns2_unearthed,marines
"200.91 30.07 60.85",ns2_unearthed,aliens
"112.52 34.28 131.23",ns2_unearthed,marines
"116.70 34.39 134.01",ns2_unearthed,marines
"188.72 30.46 22.22",ns2_unearthed,marines
"187.65 31.46 30.16",ns2_unearthed,aliens
"182.58 29.72 32.64",ns2_unearthed,marines
"191.66 32.97 28.82",ns2_unearthed,marines
"87.52 33.28 56.65",ns2_unearthed,aliens
"103.64 34.90 115.11",ns2_unearthed,marines
"99.53 35.27 114.68",ns2_unearthed,aliens
"85.87 29.64 47.27",ns2_unearthed,marines
"111.92 34.25 132.98",ns2_unearthed,marines
"116.00 34.39 134.63",ns2_unearthed,marines
"115.71 34.39 133.14",ns2_unearthed,marines
