x,y,z,map
54.65,0.21,27.05,ns2_tram
-33.64,-3.24,76.95,ns2_tram
-18.09,-2.91,24.65,ns2_tram
-28.38,0.66,81.39,ns2_tram
-30.84,-1.92,-2.33,ns2_tram
-12.88,-0.86,63.51,ns2_tram
38.62,1.65,32.49,ns2_tram
-5.08,2.34,71.85,ns2_tram
41.11,0.02,48.09,ns2_tram
31.04,-2.42,53.53,ns2_tram
40.58,-3.05,75.07,ns2_tram
-49.46,-3.44,31.62,ns2_tram
-50.82,-2.35,33.37,ns2_tram
28.90,2.58,114.31,ns2_tram
26.06,1.52,115.60,ns2_tram
24.22,2.74,118.85,ns2_tram
27.81,1.89,129.09,ns2_tram
28.87,2.74,120.95,ns2_tram
17.01,1.96,97.74,ns2_tram
38.78,3.01,119.14,ns2_tram
21.85,1.53,111.06,ns2_tram
-1.99,0.64,65.58,ns2_tram
39.66,-3.44,68.28,ns2_tram
26.19,2.56,113.42,ns2_tram
-24.73,-1.25,78.58,ns2_tram
27.00,3.03,120.94,ns2_tram
30.73,-1.96,64.53,ns2_tram
-19.13,-2.90,24.19,ns2_tram
46.08,0.30,32.38,ns2_tram
35.59,-2.42,49.02,ns2_tram
-29.36,-2.02,11.22,ns2_tram
-22.27,-2.83,20.24,ns2_tram
-28.16,-2.83,21.58,ns2_tram
-19.05,-1.85,28.14,ns2_tram
-18.83,-2.06,18.62,ns2_tram
-17.40,-3.16,21.77,ns2_tram
-17.52,-3.05,22.04,ns2_tram
-19.29,-3.44,20.92,ns2_tram
10.86,-3.64,60.44,ns2_tram
2.78,-2.27,-10.50,ns2_tram
-5.40,1.83,92.25,ns2_tram
2.50,-2.34,-9.79,ns2_tram
1.16,2.49,61.88,ns2_tram
-6.26,2.01,61.55,ns2_tram
29.11,0.19,-0.94,ns2_tram
0.74,0.61,80.57,ns2_tram
-4.54,1.83,83.89,ns2_tram
22.94,1.51,115.62,ns2_tram
27.93,2.75,122.44,ns2_tram
25.81,3.32,115.73,ns2_tram
24.70,3.14,120.42,ns2_tram
21.17,1.46,113.69,ns2_tram
29.54,2.75,121.95,ns2_tram
28.83,2.71,122.90,ns2_tram
43.59,1.02,31.68,ns2_tram
19.59,-3.12,55.25,ns2_tram
26.45,-2.36,52.08,ns2_tram
-18.21,-1.48,70.18,ns2_tram
-19.27,-1.49,67.95,ns2_tram
39.80,0.21,27.46,ns2_tram
42.52,0.21,1.34,ns2_tram
47.84,-0.01,13.61,ns2_tram
49.76,0.24,24.40,ns2_tram
48.58,0.47,24.67,ns2_tram
-17.83,-1.49,71.71,ns2_tram
7.72,-3.42,33.06,ns2_tram
-8.37,-3.44,31.84,ns2_tram
-17.56,-1.77,44.55,ns2_tram
33.24,0.21,27.17,ns2_tram
49.57,0.00,12.06,ns2_tram
41.92,0.20,0.39,ns2_tram
51.52,0.16,28.56,ns2_tram
36.90,-3.66,73.41,ns2_tram
51.97,0.21,30.15,ns2_tram
48.95,0.21,31.72,ns2_tram
44.38,-3.44,67.49,ns2_tram
-67.77,-0.10,88.72,ns2_tram
-67.44,-0.09,88.44,ns2_tram
43.31,0.21,28.11,ns2_tram
43.30,0.50,28.39,ns2_tram
42.11,0.28,28.38,ns2_tram
37.37,0.21,27.01,ns2_tram
36.14,1.60,30.64,ns2_tram
33.53,1.41,40.49,ns2_tram
-75.89,-2.02,75.83,ns2_tram
-79.07,-2.02,76.30,ns2_tram
-75.79,-1.02,75.54,ns2_tram
49.15,0.47,23.75,ns2_tram
39.84,1.34,3.12,ns2_tram
-28.14,5.80,71.63,ns2_tram
-33.70,-3.25,75.26,ns2_tram
-31.53,0.17,84.38,ns2_tram
-31.85,-2.86,72.37,ns2_tram
-31.17,-2.22,66.22,ns2_tram
-29.47,-3.14,77.54,ns2_tram
-29.35,-3.14,77.93,ns2_tram
41.77,0.21,0.92,ns2_tram
-33.91,-2.22,70.50,ns2_tram
-30.17,-2.22,69.23,ns2_tram
-26.40,-1.52,65.05,ns2_tram
42.18,1.06,12.71,ns2_tram
-35.64,0.04,83.70,ns2_tram
-37.67,0.14,88.70,ns2_tram
29.62,0.23,0.36,ns2_tram
-33.69,-0.51,64.93,ns2_tram
-30.30,-2.22,70.00,ns2_tram
-30.88,-2.22,69.83,ns2_tram
41.97,0.20,31.53,ns2_tram
-19.17,-1.42,55.64,ns2_tram
-19.25,-1.22,57.99,ns2_tram
48.91,0.21,25.73,ns2_tram
16.48,0.19,6.12,ns2_tram
-12.78,2.10,66.90,ns2_tram
29.06,-2.41,51.19,ns2_tram
6.74,0.61,91.00,ns2_tram
26.14,1.93,94.04,ns2_tram
46.87,0.21,29.95,ns2_tram
45.55,0.21,30.41,ns2_tram
25.39,3.16,119.41,ns2_tram
42.43,1.08,22.78,ns2_tram
28.65,1.75,113.77,ns2_tram
8.91,0.03,105.59,ns2_tram
10.88,-0.64,104.65,ns2_tram
10.17,-0.35,114.53,ns2_tram
36.76,0.10,1.97,ns2_tram
43.22,0.47,4.57,ns2_tram
22.01,2.64,115.37,ns2_tram
17.88,2.91,126.84,ns2_tram
26.23,2.59,128.63,ns2_tram
42.23,-2.42,37.90,ns2_tram
43.98,-1.94,36.40,ns2_tram
45.95,-2.42,38.69,ns2_tram
