x,y,z,team
-3.93,-3.85,-42.90,marines
-4.27,-3.85,-43.21,marines
-24.00,-1.61,-48.76,aliens
-26.18,0.24,-43.93,aliens
-8.75,-3.32,-50.28,aliens
-6.40,-2.42,-49.33,aliens
-5.09,-3.85,-43.62,marines
-4.49,-3.85,-42.91,marines
-3.66,-3.85,-42.35,marines
-4.32,-3.85,-42.49,marines
-4.14,-3.85,-43.43,marines
-4.50,-3.85,-43.35,marines
-18.20,-1.59,-20.71,aliens
-22.46,-0.08,-28.84,aliens
-4.76,-3.85,-43.00,marines
-4.53,-3.85,-43.33,marines
-6.30,-3.85,-43.62,marines
-5.54,-3.85,-45.17,marines
-20.59,-1.61,-48.42,aliens
-4.15,-3.85,-43.74,marines
-4.30,-3.85,-43.25,marines
-4.52,-3.85,-43.23,marines
-4.35,-3.85,-43.67,marines
-4.81,-3.85,-43.45,marines
-25.21,-0.96,-39.03,aliens
-23.35,-1.61,-40.49,marines
-22.35,-0.99,-39.92,aliens
-6.02,-3.85,-44.12,marines
-4.17,-3.85,-43.39,marines
-3.38,-2.42,-42.58,marines
-4.11,-3.85,-43.67,marines
-4.22,-3.85,-42.84,marines
-6.62,-3.85,-44.60,aliens
-9.89,-2.76,-59.67,marines
-26.44,0.25,-41.59,aliens
-5.85,-3.85,-41.53,aliens
-3.64,-3.85,-42.84,marines
-6.00,-3.14,-45.99,marines
-4.43,-3.85,-43.45,marines
-6.17,-3.85,-44.24,marines
-6.82,-3.85,-49.64,aliens
-7.08,-3.85,-46.95,marines
-20.78,0.07,-36.50,aliens
-25.27,-0.89,-39.07,aliens
-20.18,0.02,-44.91,aliens
-5.53,-3.85,-43.92,marines
-6.01,-3.92,-44.70,marines
-5.60,-2.99,-43.81,marines
-5.69,-3.85,-46.60,marines
-7.60,-0.93,-59.29,aliens
-5.50,-3.85,-44.78,marines
-25.75,-0.87,-39.97,aliens
-22.90,-1.61,-37.03,aliens
-5.22,-3.85,-43.56,marines
-3.94,-3.85,-42.77,marines
-5.38,-3.85,-44.81,marines
-4.04,-3.85,-42.94,marines
-5.34,-3.85,-44.89,marines
-5.66,-3.85,-44.50,marines
-14.78,-3.44,-56.60,marines
-22.01,-1.61,-51.44,aliens
-21.89,-1.60,-50.00,aliens
-4.35,-3.85,-43.28,marines
-4.03,-3.85,-41.70,marines
-4.96,-3.85,-42.07,marines
-5.96,-3.85,-44.33,marines
-15.42,-1.61,-49.06,marines
-23.92,-1.61,-33.29,aliens
-6.20,-3.85,-44.30,marines
-5.18,-3.59,-50.28,aliens
-5.53,-3.85,-44.75,marines
-4.39,-3.85,-43.40,marines
-5.71,-3.85,-43.93,marines
-5.75,-3.85,-43.07,marines
-31.48,-2.78,-46.07,marines
-19.29,0.34,-25.49,aliens
-21.82,-1.61,-49.85,aliens
-6.17,-3.85,-43.60,marines
-5.73,-3.85,-51.57,marines
-16.46,-3.64,-59.58,marines
-5.42,-3.85,-41.97,marines
-5.14,-3.85,-39.95,marines
-4.99,-3.85,-39.86,marines
-20.03,-1.61,-49.52,marines
-21.17,-1.61,-47.15,marines
-30.54,-2.63,-49.85,aliens
-24.48,-1.61,-33.60,aliens
-32.68,-1.28,-46.59,aliens
-5.32,-3.85,-40.28,marines
-5.17,-3.85,-43.10,marines
-4.81,-3.85,-40.18,marines
-4.94,-3.85,-44.33,marines
-7.37,-3.85,-47.64,marines
-8.00,-3.42,-59.17,marines
-21.38,-1.61,-25.95,aliens
-18.74,0.04,-25.11,aliens
-5.73,-3.85,-43.35,marines
-6.14,-3.85,-43.85,marines
-5.55,-3.59,-40.78,marines
-4.86,-3.34,-36.42,marines
-4.75,-3.34,-35.64,marines
-5.60,-3.85,-41.06,marines
-22.00,-1.61,-34.75,marines
-17.82,-1.61,-23.43,aliens
-20.32,-1.61,-24.95,aliens
-18.18,-0.75,-11.91,marines
-20.09,0.26,-12.48,marines
-31.82,-0.75,-12.61,marines
