coordinates,map,team
"12.52 -3.85 -35.85",ns2_biodome,aliens
"28.06 -5.40 -32.33",ns2_biodome,aliens
"22.11 -2.96 -72.72",ns2_biodome,aliens
"25.42 -4.39 -71.89",ns2_biodome,aliens
"27.56 -4.46 -71.54",ns2_biodome,marines
"31.43 -4.34 -73.53",ns2_biodome,aliens
"33.33 -3.82 -73.89",ns2_biodome,aliens
"34.59 -4.11 -71.23",ns2_biodome,marines
"28.41 -4.35 -73.80",ns2_biodome,marines
"37.86 -4.30 -71.10",ns2_biodome,marines
"33.56 -3.44 -67.54",ns2_biodome,marines
"18.14 -5.67 -35.27",ns2_biodome,aliens
"-1.69 -3.85 -38.55",ns2_biodome,aliens
"11.76 -3.15 -36.34",ns2_biodome,aliens
"-11.16 1.39 4.80",ns2_biodome,aliens
"28.65 -4.35 -71.51",ns2_biodome,aliens
"16.00 -3.99 -73.75",ns2_biodome,aliens
"14.53 -3.12 -72.14",ns2_biodome,aliens
"46.14 -6.37 -22.71",ns2_biodome,aliens
"40.11 2.35 -87.21",ns2_biodome,aliens
"36.80 -1.96 -90.41",ns2_biodome,marines
"42.96 -1.10 -93.96",ns2_biodome,marines
"38.50 -1.92 -88.18",ns2_biodome,marines
"39.77 -2.53 -66.60",ns2_biodome,aliens
"34.72 -3.54 -66.96",ns2_biodome,marines
"37.00 -1.92 -71.34",ns2_biodome,aliens
"38.07 -2.78 -75.09",ns2_biodome,aliens
"1.61 -3.85 -42.54",ns2_biodome,aliens
"33.02 -2.02 -92.21",ns2_biodome,aliens
"30.80 -2.02 -96.28",ns2_biodome,marines
"19.99 -3.79 -31.11",ns2_biodome,aliens
"20.78 -2.48 -28.35",ns2_biodome,aliens
"16.11 -2.97 -68.46",ns2_biodome,aliens
"25.92 -4.46 -72.32",ns2_biodome,aliens
"26.58 -5.58 -47.82",ns2_biodome,aliens
"27.85 -2.65 -74.37",ns2_biodome,aliens
"34.48 -4.40 -71.68",ns2_biodome,aliens
"33.37 -0.32 -95.42",ns2_biodome,aliens
"41.75 0.28 -91.87",ns2_biodome,aliens
"36.90 1.74 -104.15",ns2_biodome,aliens
"40.42 1.43 -102.04",ns2_biodome,aliens
"36.28 0.35 -102.31",ns2_biodome,aliens
"39.01 1.67 -108.46",ns2_biodome,aliens
"36.66 0.10 -101.19",ns2_biodome,marines
"40.78 1.14 -101.28",ns2_biodome,aliens
"57.71 -0.08 -98.48",ns2_biodome,aliens
"24.02 -5.67 -51.87",ns2_biodome,marines
"27.53 -5.78 -53.09",ns2_biodome,marines
"0.16 -1.46 -42.64",ns2_biodome,aliens
"20.85 -4.27 -28.15",ns2_biodome,marines
"9.21 -3.39 -36.32",ns2_biodome,aliens
"1.78 -1.50 -42.78",ns2_biodome,aliens
"-7.40 -3.85 -40.15",ns2_biodome,aliens
"-10.83 -2.43 -42.03",ns2_biodome,aliens
"1.46 -3.85 -40.19",ns2_biodome,aliens
"-5.01 -2.14 -37.51",ns2_biodome,aliens
