x,y,z,map
-9.39,-2.30,-32.22,ns2_veil_cured
56.94,-0.67,-88.52,ns2_veil_cured
56.62,-0.59,-88.39,ns2_veil_cured
6.62,-2.82,-75.46,ns2_veil_cured
-9.08,-1.91,-32.58,ns2_veil_cured
-12.89,-2.24,-16.92,ns2_veil_cured
39.45,-2.30,-140.36,ns2_veil_cured
55.71,-1.36,-95.16,ns2_veil_cured
-6.87,-2.30,-83.53,ns2_veil_cured
-21.67,-3.30,-5.53,ns2_veil_cured
65.14,-1.59,-84.91,ns2_veil_cured
3.45,-2.74,-74.96,ns2_veil_cured
0.87,-2.25,-102.38,ns2_veil_cured
-17.11,-1.62,-36.82,ns2_veil_cured
-12.38,-1.30,-26.38,ns2_veil_cured
-16.05,-0.95,-26.25,ns2_veil_cured
-12.93,-2.15,-27.60,ns2_veil_cured
2.16,-1.01,-92.14,ns2_veil_cured
-28.50,-1.10,-100.75,ns2_veil_cured
-10.95,-2.30,-99.28,ns2_veil_cured
-28.50,-2.29,-47.10,ns2_veil_cured
-8.04,-2.30,-58.60,ns2_veil_cured
-3.68,-2.32,-77.30,ns2_veil_cured
-3.89,-1.76,-68.99,ns2_veil_cured
-64.33,-4.15,-101.42,ns2_veil_cured
-16.31,-2.28,-75.47,ns2_veil_cured
1.55,-1.94,-92.14,ns2_veil_cured
-9.61,-0.90,-72.07,ns2_veil_cured
-14.74,-2.30,-81.39,ns2_veil_cured
-1.48,-2.30,-88.48,ns2_veil_cured
-17.22,-1.59,-76.38,ns2_veil_cured
-15.26,-2.28,-74.94,ns2_veil_cured
-8.73,-2.25,-97.14,ns2_veil_cured
-18.70,-3.76,-160.49,ns2_veil_cured
-16.50,-5.02,-166.76,ns2_veil_cured
-0.19,-2.30,-85.38,ns2_veil_cured
-3.07,-1.92,-88.99,ns2_veil_cured
-57.54,0.90,-177.58,ns2_veil_cured
-15.80,-5.06,-167.72,ns2_veil_cured
-7.38,-2.22,-99.80,ns2_veil_cured
-59.53,-1.25,-172.58,ns2_veil_cured
-17.57,-4.11,-167.18,ns2_veil_cured
-60.20,-3.21,-158.51,ns2_veil_cured
-67.62,-2.06,-158.30,ns2_veil_cured
-52.43,-2.39,-177.99,ns2_veil_cured
-62.32,-2.03,-178.09,ns2_veil_cured
-53.30,-2.30,-176.77,ns2_veil_cured
-57.00,-2.32,-177.85,ns2_veil_cured
-14.82,-6.09,-172.88,ns2_veil_cured
-17.86,-4.94,-162.50,ns2_veil_cured
-10.49,-4.94,-159.89,ns2_veil_cured
-15.58,-4.68,-162.44,ns2_veil_cured
-17.30,-4.95,-161.87,ns2_veil_cured
-6.56,-4.92,-153.30,ns2_veil_cured
-16.63,-4.81,-161.29,ns2_veil_cured
-3.73,-2.30,-89.82,ns2_veil_cured
-16.56,-4.94,-165.47,ns2_veil_cured
-16.15,-3.65,-165.19,ns2_veil_cured
-2.01,-1.46,-90.61,ns2_veil_cured
-1.81,-2.30,-97.37,ns2_veil_cured
1.52,-2.25,-101.07,ns2_veil_cured
-26.89,-6.28,-174.28,ns2_veil_cured
-7.99,-0.48,-88.12,ns2_veil_cured
-0.38,-2.30,-82.67,ns2_veil_cured
-12.67,-1.77,-169.00,ns2_veil_cured
-11.61,-6.16,-176.74,ns2_veil_cured
7.79,-0.72,-90.00,ns2_veil_cured
6.29,-2.30,-93.33,ns2_veil_cured
-14.84,-6.51,-171.14,ns2_veil_cured
-11.67,-5.28,-174.26,ns2_veil_cured
-15.16,-5.10,-174.63,ns2_veil_cured
9.79,-2.30,-95.45,ns2_veil_cured
-0.21,-0.83,-91.55,ns2_veil_cured
0.28,-2.30,-83.07,ns2_veil_cured
-9.86,-4.94,-162.88,ns2_veil_cured
6.77,-2.12,-84.91,ns2_veil_cured
-18.01,-6.51,-171.68,ns2_veil_cured
3.79,-2.30,-85.67,ns2_veil_cured
3.85,-2.30,-85.70,ns2_veil_cured
26.04,-2.29,-32.14,ns2_veil_cured
34.03,3.32,-36.16,ns2_veil_cured
-4.85,-4.92,-151.43,ns2_veil_cured
28.06,-2.00,-148.67,ns2_veil_cured
30.41,-2.30,-143.03,ns2_veil_cured
2.49,0.95,-41.00,ns2_veil_cured
-22.60,-2.29,-133.25,ns2_veil_cured
29.83,1.98,-157.65,ns2_veil_cured
20.82,3.38,-159.75,ns2_veil_cured
-15.92,-2.30,-68.11,ns2_veil_cured
-9.90,-2.30,-71.57,ns2_veil_cured
-2.51,-1.50,-70.96,ns2_veil_cured
-3.69,-1.16,-70.71,ns2_veil_cured
-6.74,-2.27,-99.86,ns2_veil_cured
-4.10,-0.41,-98.15,ns2_veil_cured
-38.76,4.97,-173.87,ns2_veil_cured
4.93,0.92,-41.79,ns2_veil_cured
4.70,0.85,-42.06,ns2_veil_cured
-43.57,-1.44,-148.86,ns2_veil_cured
3.39,1.03,-164.87,ns2_veil_cured
8.36,-1.20,-129.14,ns2_veil_cured
8.49,-2.03,-127.27,ns2_veil_cured
9.29,-2.30,-131.44,ns2_veil_cured
-31.04,-0.59,-32.68,ns2_veil_cured
7.66,-4.94,-153.19,ns2_veil_cured
14.90,-4.92,-151.69,ns2_veil_cured
9.56,-4.94,-150.43,ns2_veil_cured
-28.17,-2.30,-60.10,ns2_veil_cured
-66.21,-1.61,-149.59,ns2_veil_cured
-59.92,-1.38,-148.23,ns2_veil_cured
-13.50,-3.82,-160.85,ns2_veil_cured
5.23,1.32,-163.54,ns2_veil_cured
-44.11,-6.38,-20.36,ns2_veil_cured
-54.28,-3.21,-167.06,ns2_veil_cured
-52.92,-2.83,-165.45,ns2_veil_cured
-53.70,-1.81,-163.64,ns2_veil_cured
-44.06,-7.34,-21.83,ns2_veil_cured
-10.08,-1.86,-40.77,ns2_veil_cured
7.77,-2.78,-124.75,ns2_veil_cured
-3.22,-0.44,-114.44,ns2_veil_cured
8.30,1.20,-40.90,ns2_veil_cured
-31.25,-4.20,-173.95,ns2_veil_cured
-33.74,-7.19,-14.23,ns2_veil_cured
-7.63,-2.27,-129.01,ns2_veil_cured
-42.10,-2.30,-146.27,ns2_veil_cured
-23.07,-2.30,-135.33,ns2_veil_cured
-31.73,-7.33,-19.63,ns2_veil_cured
-18.82,-2.32,-42.54,ns2_veil_cured
7.71,-2.56,-145.08,ns2_veil_cured
-10.54,-1.79,-42.07,ns2_veil_cured
-72.42,-4.18,-68.53,ns2_veil_cured
37.65,-0.81,-145.64,ns2_veil_cured
39.11,-2.30,-141.15,ns2_veil_cured
38.11,-1.35,-138.99,ns2_veil_cured
39.53,-1.61,-138.88,ns2_veil_cured
38.82,-2.30,-138.83,ns2_veil_cured
-11.05,-1.86,-39.24,ns2_veil_cured
38.52,-2.19,-132.58,ns2_veil_cured
-33.96,-6.57,-5.86,ns2_veil_cured
37.33,-1.38,-131.31,ns2_veil_cured
45.41,-2.30,-133.65,ns2_veil_cured
47.69,-2.07,-127.41,ns2_veil_cured
-8.04,-0.47,-33.21,ns2_veil_cured
-10.67,-1.88,-43.88,ns2_veil_cured
-3.10,-2.30,-122.16,ns2_veil_cured
-2.68,-2.73,-166.22,ns2_veil_cured
-13.39,-0.99,-132.30,ns2_veil_cured
-9.46,-0.93,-127.83,ns2_veil_cured
-29.30,-7.32,-17.77,ns2_veil_cured
-44.03,-7.34,-17.57,ns2_veil_cured
36.03,-2.39,-150.86,ns2_veil_cured
-31.67,-2.30,-135.97,ns2_veil_cured
-26.81,-1.26,-34.91,ns2_veil_cured
-31.25,-2.30,-135.53,ns2_veil_cured
-31.40,-2.30,-135.89,ns2_veil_cured
-35.12,-7.24,-13.70,ns2_veil_cured
7.20,1.18,-162.82,ns2_veil_cured
-32.05,0.07,-137.37,ns2_veil_cured
-33.40,-1.29,-137.41,ns2_veil_cured
-14.17,-3.82,-132.90,ns2_veil_cured
-40.55,-2.27,-115.27,ns2_veil_cured
-62.39,-7.32,-23.01,ns2_veil_cured
-56.44,-1.45,-156.27,ns2_veil_cured
-38.79,-4.99,-10.42,ns2_veil_cured
-40.76,-1.32,-116.03,ns2_veil_cured
-37.87,-1.56,-122.55,ns2_veil_cured
-34.11,0.92,-124.60,ns2_veil_cured
-33.18,-2.31,-128.55,ns2_veil_cured
-29.85,-2.13,-137.06,ns2_veil_cured
-28.73,-2.02,-137.65,ns2_veil_cured
-23.48,-2.27,-137.65,ns2_veil_cured
-29.53,-2.30,-136.65,ns2_veil_cured
-38.10,-1.89,-115.72,ns2_veil_cured
