coordinates,map,team
"23.67 1.88 116.67",ns2_tram,aliens
"-0.03 4.80 57.18",ns2_tram,aliens
"47.21 -0.02 37.02",ns2_tram,aliens
"0.52 -4.13 28.03",ns2_tram,aliens
"3.35 4.28 58.46",ns2_tram,aliens
"13.54 -1.91 36.82",ns2_tram,aliens
"35.34 0.37 33.60",ns2_tram,aliens
"-20.33 -1.48 48.32",ns2_tram,aliens
"-88.59 0.31 53.23",ns2_tram,aliens
"-58.64 -2.69 67.00",ns2_tram,aliens
"-89.69 -0.44 42.74",ns2_tram,aliens
"-78.04 -1.93 76.96",ns2_tram,aliens
"-75.26 -1.47 55.35",ns2_tram,aliens
"-86.85 -0.54 42.08",ns2_tram,aliens
"-57.26 -2.18 55.92",ns2_tram,aliens
"-16.05 -1.48 54.86",ns2_tram,aliens
"-20.17 1.07 103.94",ns2_tram,aliens
"-21.98 -0.13 64.06",ns2_tram,aliens
"-1.77 1.41 81.63",ns2_tram,aliens
"-41.51 -0.07 95.78",ns2_tram,aliens
"-9.26 0.71 65.95",ns2_tram,aliens
"-19.39 -0.08 103.84",ns2_tram,aliens
"-43.41 0.44 85.22",ns2_tram,aliens
"-66.31 0.25 79.78",ns2_tram,aliens
"-12.41 3.00 86.05",ns2_tram,aliens
"-43.21 1.50 97.98",ns2_tram,aliens
"1.00 0.64 71.42",ns2_tram,aliens
"-25.82 -2.60 21.44",ns2_tram,aliens
"-0.65 -2.52 15.51",ns2_tram,aliens
"-29.71 -1.15 10.81",ns2_tram,aliens
"-20.16 -0.82 51.00",ns2_tram,aliens
"-26.08 -0.30 -8.16",ns2_tram,aliens
"-7.81 -2.39 32.77",ns2_tram,aliens
"-24.38 -1.24 67.69",ns2_tram,aliens
"-3.52 2.50 88.53",ns2_tram,aliens
"1.68 -0.18 94.51",ns2_tram,aliens
"-44.36 0.36 96.57",ns2_tram,aliens
"-36.63 0.65 93.17",ns2_tram,aliens
"-32.06 1.02 97.68",ns2_tram,aliens
"-2.16 5.15 76.99",ns2_tram,aliens
"-87.79 -0.19 42.34",ns2_tram,aliens
"-60.16 1.54 94.89",ns2_tram,aliens
"12.05 -3.75 39.22",ns2_tram,aliens
"5.28 -2.42 -10.26",ns2_tram,marines
"-64.95 -0.39 -2.22",ns2_tram,marines
"-37.50 5.22 66.02",ns2_tram,aliens
"-31.98 1.31 92.01",ns2_tram,aliens
"-33.83 -0.65 -4.66",ns2_tram,aliens
"44.54 -1.14 34.68",ns2_tram,aliens
"-4.35 -2.48 15.41",ns2_tram,aliens
"-22.25 -0.78 -25.54",ns2_tram,aliens
"46.67 -3.64 72.56",ns2_tram,aliens
"0.40 2.01 71.36",ns2_tram,aliens
"21.93 1.72 99.76",ns2_tram,aliens
"22.53 2.73 122.60",ns2_tram,aliens
"-25.27 -3.02 3.55",ns2_tram,aliens
"-34.95 -0.86 -17.31",ns2_tram,aliens
"-20.96 -2.14 2.40",ns2_tram,aliens
"-34.72 -0.79 -1.24",ns2_tram,aliens
"12.08 -3.03 56.39",ns2_tram,aliens
"-28.71 -1.27 -1.14",ns2_tram,aliens
"-17.46 3.35 84.67",ns2_tram,aliens
"-23.71 0.31 65.27",ns2_tram,aliens
"-31.95 -0.99 -13.33",ns2_tram,aliens
"-18.55 -2.83 41.39",ns2_tram,aliens
"-43.76 0.04 91.90",ns2_tram,aliens
"37.87 -2.21 68.08",ns2_tram,aliens
"-19.06 -0.06 106.63",ns2_tram,aliens
"-45.41 -0.12 93.67",ns2_tram,aliens
"-66.75 0.66 96.30",ns2_tram,aliens
"6.25 -0.50 101.99",ns2_tram,aliens
"4.30 0.16 102.53",ns2_tram,aliens
"-42.27 1.04 92.38",ns2_tram,aliens
"-12.45 2.80 97.67",ns2_tram,aliens
"-82.49 -0.64 46.78",ns2_tram,aliens
"-11.29 2.18 66.00",ns2_tram,aliens
"-42.72 0.43 92.64",ns2_tram,aliens
"-23.14 -1.10 -17.53",ns2_tram,aliens
"26.15 1.83 79.47",ns2_tram,marines
"23.63 1.93 93.11",ns2_tram,marines
"-29.84 -1.92 -14.11",ns2_tram,marines
"9.45 -4.05 52.81",ns2_tram,marines
"2.94 -0.50 95.58",ns2_tram,marines
"26.06 0.21 -10.92",ns2_tram,marines
"31.68 -3.44 67.01",ns2_tram,marines
"34.02 -0.59 82.50",ns2_tram,marines
"-5.23 1.83 79.89",ns2_tram,marines
"-16.48 -1.49 53.93",ns2_tram,marines
"9.07 -3.86 49.75",ns2_tram,marines
"35.65 -0.07 22.48",ns2_tram,marines
"51.33 0.60 10.55",ns2_tram,marines
"15.94 0.21 5.01",ns2_tram,marines
"-85.24 -1.59 45.65",ns2_tram,marines
"22.40 -3.44 66.91",ns2_tram,marines
"23.03 -1.24 49.35",ns2_tram,marines
"10.67 -2.83 33.63",ns2_tram,marines
"47.29 1.57 3.05",ns2_tram,marines
"50.45 0.23 19.65",ns2_tram,marines
"-3.65 1.83 80.65",ns2_tram,marines
"48.78 0.21 25.85",ns2_tram,marines
"50.10 0.00 8.64",ns2_tram,marines
"53.13 0.25 9.84",ns2_tram,marines
"51.16 0.21 24.35",ns2_tram,marines
"-46.99 -1.02 92.00",ns2_tram,aliens
"-56.25 1.48 -10.08",ns2_tram,aliens
"37.72 -1.21 83.60",ns2_tram,aliens
"-5.71 2.49 75.52",ns2_tram,aliens
"22.13 1.36 -12.08",ns2_tram,aliens
"-9.96 3.16 69.01",ns2_tram,aliens
"-11.28 -1.22 23.09",ns2_tram,aliens
